
Bachynskoho Street, Ivano-Frankivsk‎
Bandery Street, Ivano-Frankivsk‎
Belvederska Street, Ivano-Frankivsk‎
Bohunska Street, Ivano-Frankivsk‎
Kurinnoho Chornoty Street, Ivano-Frankivsk‎
Chornovola Street, Ivano-Frankivsk‎
Korolia Danyla Street, Ivano-Frankivsk‎
Dnistrovska Street, Ivano-Frankivsk‎
Drahomanova Street, Ivano-Frankivsk‎
Fortechnyi Lane, Ivano-Frankivsk‎
Franka Street, Ivano-Frankivsk‎
Street furniture in Ivano-Frankivsk‎
Halytska Street, Ivano-Frankivsk‎
Harkushi Street, Ivano-Frankivsk‎
Heroiv Krut Street, Ivano-Frankivsk‎
Akademika Hnatiuka Street, Ivano-Frankivsk‎
Hordynskoho Street, Ivano-Frankivsk‎
Hriunvaldska Street, Ivano-Frankivsk‎
Hrushevskoho Street, Ivano-Frankivsk‎
Karpatska Street, Ivano-Frankivsk
Yevhena Konovaltsa Street, Ivano-Frankivsk‎
Kopernyka Street, Ivano-Frankivsk‎
Krushelnytskoi Street, Ivano-Frankivsk
Kryva Street, Ivano-Frankivsk‎
Lesia Kurbasa Street, Ivano-Frankivsk‎
Kysilevskoi Street, Ivano-Frankivsk‎
Lenkavskoho Street, Ivano-Frankivsk‎
Lepkoho Street, Ivano-Frankivsk‎
Lermontova Street, Ivano-Frankivsk‎
Lesi Ukrainky Street, Ivano-Frankivsk‎
Romana Levytskoho Street, Ivano-Frankivsk‎
Lvivska Street, Ivano-Frankivsk‎
Makohona Street, Ivano-Frankivsk‎
Sotnyka Martyntsia Street, Ivano-Frankivsk‎
Mateika Street, Ivano-Frankivsk‎
Hetmana Mazepy Street, Ivano-Frankivsk
Melnychuka Street, Ivano-Frankivsk‎
Mochulskoho Street, Ivano-Frankivsk‎
Mykoly Sabata Street, Ivano-Frankivsk‎
Naberezhna Street named after Vasyl Stefanyk‎
Natsionalnoi Hvardii Street, Ivano-Frankivsk‎
Nechuia-Levytskoho Street, Ivano-Frankivsk‎
Nezalezhnosti Street, Ivano-Frankivsk‎
Novakivskoho Street, Ivano-Frankivsk‎
Novhorodska Street, Ivano-Frankivsk
Nyzova Street, Ivano-Frankivsk‎
Pylypa Orlyka Street, Ivano-Frankivsk‎
Ozarkevycha Street, Ivano-Frankivsk‎
Pavlyka Street, Ivano-Frankivsk‎
Petliury Street, Ivano-Frankivsk‎
Mariiky Pidhirianky Street, Ivano-Frankivsk‎
Pryvokzalna Street, Ivano-Frankivsk‎
Repina Street, Ivano-Frankivsk‎
Akademika Sakharova Street, Ivano-Frankivsk‎
Shashkevycha Street, Ivano-Frankivsk‎
Sheremety Street, Ivano-Frankivsk‎
Shevchenka Street, Ivano-Frankivsk
Shopena Street, Ivano-Frankivsk‎
Shpytalna Street, Ivano-Frankivsk‎
Sichovykh Striltsiv Street, Ivano-Frankivsk‎
Slobidska Street, Ivano-Frankivsk‎
Stanislavska Street, Ivano-Frankivsk‎
Starozamkova Street, Ivano-Frankivsk‎
Strachenykh Street, Ivano-Frankivsk‎
Tarnavskoho Street, Ivano-Frankivsk‎
Tolstoho Street, Ivano-Frankivsk‎
Trusha Street, Ivano-Frankivsk‎
Trynitarska Street, Ivano-Frankivsk‎
Teodora Tsoklera Street, Ivano-Frankivsk‎
Vahylevycha Street, Ivano-Frankivsk‎
Valova Street, Ivano-Frankivsk‎
Vasyliianok Street, Ivano-Frankivsk‎
Virmenska Street, Ivano-Frankivsk‎
Vitovskoho Street, Ivano-Frankivsk‎
Vovchynetska Street, Ivano-Frankivsk‎
Zaklynskykh Street, Ivano-Frankivsk‎
Zaliznychna Street, Ivano-Frankivsk‎
Zhelekhivskoho Street, Ivano-Frankivsk‎
